pair_id,pos_blob_id,neg_blob_id,pos_x,pos_y,neg_x,neg_y,dx_pos_to_neg,dy_pos_to_neg,distance,vector_error,pos_max_z,neg_min_z,size_mismatch_penalty,elongation_penalty,score
11,35,37,1086.6323258356051,399.16145275712313,1057.8142593523985,405.1664664859533,-28.818065643310547,6.005013942718506,29.437068939208984,6.342319488525391,4.991145610809326,-4.066784858703613,0.5714285714285714,0.25,5.065342153821673
12,127,135,894.1685280216611,1121.9910102365939,915.2817645636306,1120.6700621548737,21.113237380981445,-1.3209481239318848,21.15452003479004,8.057452201843262,4.607267379760742,-4.557880401611328,0.0,0.33333333333333326,4.803088347117106
13,163,165,1272.8361034213112,1323.1778300257342,1243.9626796320715,1316.4966511157036,-28.873424530029297,-6.681179046630859,29.636341094970703,6.347684860229492,4.112414360046387,-4.331395149230957,0.0,0.5,4.769967079162598
14,114,122,968.8275211545258,1036.0223990008217,997.8262682778078,1032.7578625430062,28.998746871948242,-3.2645363807678223,29.181921005249023,3.5992674827575684,3.9100444316864014,-4.578541278839111,0.625,1.3333333333333335,4.730618635813395
15,135,144,1143.4962521672483,1163.506207670002,1112.6183076826671,1169.4559126574839,-30.877944946289062,5.949705123901367,31.44593048095703,6.559384346008301,3.893622636795044,-4.745003700256348,0.6363636363636364,0.0,4.7225705276836045
16,171,177,727.9074769154298,1380.14400738926,761.5932869953572,1384.2005648038828,33.68581008911133,4.0565571784973145,33.92918395996094,5.985026836395264,4.454936504364014,-3.942354679107666,0.375,0.5,4.529777765274048
17,53,53,1249.4043950335085,496.2033424539011,1221.3886486782285,500.8295003107935,-28.0157470703125,4.626157760620117,28.395130157470703,5.057342052459717,3.8628714084625244,-4.112204551696777,0.0,1.0,4.446404933929443
18,125,136,831.3947380472324,1117.1862704946743,865.4781258903968,1120.5025680817828,34.08338928222656,3.3162975311279297,34.244346618652344,5.894346714019775,4.0894389152526855,-3.9622631072998047,0.2,0.5,4.404528665542602
19,114,123,968.8275211545258,1036.0223990008217,943.686209273692,1039.4221061119354,-25.141311645507812,3.399707078933716,25.37013053894043,5.368969917297363,3.9100444316864014,-4.220145225524902,0.6842105263157895,0.5,4.261494172246833
20,68,73,983.0031500334742,699.9952195016292,958.0546611034486,695.0620548562334,-24.948488235473633,-4.933164596557617,25.43153953552246,6.1278204917907715,3.9179012775421143,-4.412397861480713,0.6153846153846154,1.0,3.6510042777428264
21,134,143,936.4866862848297,1159.5185371962532,965.0017636519789,1168.0144708114483,28.515077590942383,8.495933532714844,29.753833770751953,8.175521850585938,3.9747872352600098,-4.123423099517822,0.42857142857142855,0.0,3.581877980913435
22,45,46,1054.873660857557,464.88112666522005,1028.2434045476625,473.00222018705693,-26.63025665283203,8.12109375,27.841026306152344,8.781270980834961,4.725836277008057,-4.025717735290527,0.5,0.5,3.3609185218811035
23,50,49,746.5022826420575,484.00212981722757,769.8303484358066,491.5758826932176,23.328065872192383,7.5737528800964355,24.526729583740234,9.195653915405273,4.097590923309326,-4.803278923034668,0.6363636363636364,0.5,3.166679252277721
24,79,86,1238.499569488598,792.5062777157303,1275.1953658768575,794.6081139595589,36.695796966552734,2.1018362045288086,36.755943298339844,7.8972930908203125,3.8513736724853516,-3.8718268871307373,0.2,0.5,3.0745540142059324
25,72,78,1557.0099659683533,716.0245257004017,1579.7649213935458,722.9916905542302,22.754955291748047,6.967164993286133,23.79767608642578,9.109012603759766,4.414163589477539,-3.9783101081848145,0.42857142857142855,0.5,2.9093959672110423
26,195,201,821.9122508789037,1536.3436621694016,842.5035089850809,1537.4832188062726,20.591259002685547,1.139556646347046,20.622766494750977,8.445921897888184,4.272202491760254,-3.8341028690338135,0.6,0.6666666666666667,2.616677745183309
27,71,77,1938.8631980385896,713.8727224919804,1974.6024432546624,707.8038570871189,35.7392463684082,-6.0688652992248535,36.25086212158203,9.297331809997559,4.1201395988464355,-3.9866747856140137,0.375,0.5,2.58314847946167
28,28,30,1279.6117862894366,291.9900314001111,1244.182928056875,297.55714513076583,-35.42885971069336,5.567113876342773,35.86358642578125,8.728008270263672,4.23599910736084,-4.336552143096924,0.2727272727272727,1.5,2.4358198425986552
29,174,174,1102.0012081690643,1385.5036727408835,1075.2038397353617,1376.594555244378,-26.7973690032959,-8.909117698669434,28.23953628540039,8.852466583251953,4.066366672515869,-3.777479410171509,0.2,1.0,2.217612791061401
30,4,8,914.4874337342973,58.01559070227337,876.8833922106701,60.31669439848314,-37.604042053222656,2.3011035919189453,37.674381256103516,8.999929428100586,3.9515488147735596,-4.148944854736328,0.5555555555555556,0.8333333333333333,2.2116400665707063
31,28,29,1279.6117862894366,291.9900314001111,1241.4898741686418,291.03194090377025,-38.12191390991211,-0.9580904841423035,38.13395309448242,9.144438743591309,4.23599910736084,-4.331477165222168,0.25,2.0,1.7452569007873535
