pair_id,pos_blob_id,neg_blob_id,pos_x,pos_y,neg_x,neg_y,dx_pos_to_neg,dy_pos_to_neg,distance,vector_error,pos_peak_z,neg_peak_abs_z,amplitude_balance,area_ratio,shape_penalty,pos_num_possible_partners,neg_num_possible_partners,num_possible_partners,local_contrast_score,size_mismatch_penalty,partner_ambiguity_penalty,elongation_penalty,confidence_category,score_v2,score
13,114,122,968.8275211545258,1036.0223990008217,997.8262682778078,1032.7578625430062,28.998746871948242,-3.2645363807678223,29.181921005249023,2.8091652393341064,3.9100444316864014,4.578541278839111,0.8539934869120134,0.375,1.3333333333333335,2,1,2,3.6245984549415864,0.625,1.0,1.3333333333333335,high_confidence,6.8461567313491525,6.8461567313491525
14,127,135,894.1685280216611,1121.9910102365939,915.2817645636306,1120.6700621548737,21.113237380981445,-1.3209481239318848,21.15452003479004,7.432241916656494,4.607267379760742,4.557880401611328,0.9892806355527864,1.0,0.33333333333333326,2,1,2,4.5334516110454866,0.0,1.0,0.33333333333333326,medium_confidence,6.794254760816063,6.794254760816063
15,53,53,1249.4043950335085,496.2033424539011,1221.3886486782285,500.8295003107935,-28.0157470703125,4.626157760620117,28.395130157470703,4.154476642608643,3.8628714084625244,4.112204551696777,0.9393675241346219,1.0,0.0,1,1,1,3.7457636797401928,0.0,0.0,1.0,high_confidence,6.776572687124224,6.776572687124224
16,114,123,968.8275211545258,1036.0223990008217,943.686209273692,1039.4221061119354,-25.141311645507812,3.399707078933716,25.37013053894043,4.437238693237305,3.9100444316864014,4.220145225524902,0.9265189283148589,0.3157894736842105,0.5,2,1,2,3.7663873040979836,0.6842105263157895,1.0,0.5,high_confidence,6.622502904064476,6.622502904064476
17,163,165,1272.8361034213112,1323.1778300257342,1243.9626796320715,1316.4966511157036,-28.873424530029297,-6.681179046630859,29.636341094970703,7.190881729125977,4.112414360046387,4.331395149230957,0.949443359093328,1.0,0.5,1,1,1,4.008459432016234,0.0,0.0,0.5,medium_confidence,6.2472553629010115,6.2472553629010115
18,171,177,727.9074769154298,1380.14400738926,761.5932869953572,1384.2005648038828,33.68581008911133,4.0565571784973145,33.92918395996094,6.903248310089111,4.454936504364014,3.942354679107666,0.8849407113313001,0.625,0.5,1,1,1,3.715552416578742,0.375,0.0,0.5,medium_confidence,6.028048451089724,6.028048451089724
19,45,46,1054.873660857557,464.88112666522005,1028.2434045476625,473.00222018705693,-26.63025665283203,8.12109375,27.841026306152344,7.847102165222168,4.725836277008057,4.025717735290527,0.8518529841747339,0.5,0.5,1,1,1,3.727518700771457,0.5,0.0,0.5,medium_confidence,5.7817088980369675,5.7817088980369675
20,125,136,831.3947380472324,1117.1862704946743,865.4781258903968,1120.5025680817828,34.08338928222656,3.3162975311279297,34.244346618652344,6.763014316558838,4.0894389152526855,3.9622631072998047,0.9689014041807682,0.8,0.5,1,2,2,3.9006526978481197,0.19999999999999996,1.0,0.5,medium_confidence,5.707997672634607,5.707997672634607
21,68,73,983.0031500334742,699.9952195016292,958.0546611034486,695.0620548562334,-24.948488235473633,-4.933164596557617,25.43153953552246,6.4909563064575195,3.9179012775421143,4.412397861480713,0.8879301913693124,0.38461538461538464,1.0,1,1,1,3.6983620543380784,0.6153846153846154,0.0,1.0,medium_confidence,5.5529890608403845,5.5529890608403845
22,134,143,936.4866862848297,1159.5185371962532,965.0017636519789,1168.0144708114483,28.515077590942383,8.495933532714844,29.753833770751953,8.995945930480957,3.9747872352600098,4.123423099517822,0.9639532833108507,0.5714285714285714,0.0,1,1,1,3.9031482205754773,0.4285714285714286,0.0,0.0,low_confidence,5.31385822187334,5.31385822187334
